model,alpha,observations,violations,violation_rate,avg_quantile_loss,avg_predicted_var,avg_predicted_es,assets_passing_uc_5pct,assets_passing_cc_5pct
conformal,0.01,765,0,0.0,0.00038378317283606236,0.037396805520955284,0.04232630576258904,5,5
filtered_historical,0.01,765,4,0.005228758169934641,0.0003460110079022814,0.03338796662767431,0.03794125803891529,5,5
garch_normal,0.01,765,6,0.00784313725490196,0.0003489102354847063,0.032669150024982926,0.0375414716007154,5,5
garch_student_t,0.01,765,6,0.00784313725490196,0.00035029128665188113,0.033339471896353515,0.03892608667165105,5,5
historical,0.01,765,5,0.006535947712418301,0.0003239660793461496,0.03012875365597459,0.03430901776865496,5,5
conformal,0.05,765,22,0.028758169934640525,0.0014094519990626956,0.024765021913024817,0.03250686867780818,5,5
filtered_historical,0.05,765,27,0.03529411764705882,0.001321315238355178,0.022633190246213436,0.028933123337933603,5,5
garch_normal,0.05,765,24,0.03137254901960784,0.0013239173105366894,0.02287042211931243,0.02887852626786775,5,5
garch_student_t,0.05,765,24,0.03137254901960784,0.001323430982310398,0.022860289737001875,0.029319936825148617,5,5
historical,0.05,765,42,0.05490196078431373,0.0013243623618877894,0.02108796061714309,0.02700746037323349,5,5
